0,0,0
Reliance,2180,2754.7
TCS,2926,3575
HDFC Bank,1330.25,1733.95
ICICI Bank,694.3,958
HUL,2204.95,2741
ITC,269.25,455.9
Infosys,1215.45,1672.45
HDFC,2133.45,2867
SBI,458,629.65
Bharti Airtel,629.05,888
Bajaj Finance,5340.05,7777
LIC India,530.2,754.4
Kotak Mahindra,1630,2063
Larsen,1526.1,2482.95
Asian Paints,2677.65,3590
HCL Tech,875.65,1194.1
Axis Bank,622.3,989.9
Maruti Suzuki,8076.65,9849.35
Adani Enterpris,1017.1,4189.55
Titan Company,1827.15,3067.7
Avenue Supermar,3292.65,4606
Sun Pharma,821.95,1071.9
Bajaj Finserv,1077.7,1846
UltraTechCement,5480,8429
Nestle,17045,23200
Wipro,351.85,444.65
ONGC,119.8,168.95
Tata Motors,375.5,599
JSW Steel,541.05,791
NTPC,136.15,191.65
M&M,1064.75,1461
Power Grid Corp,186.35,259.8
Adani Ports,394.95,987.9
LTIMindtree,3834,5360.65
Adani Green Ene,439.35,2574.05
Coal India,176.8,263.3
HDFC Life,457.95,675
Tata Steel,83.83,124.3
Siemens,2340.7,3940
Bajaj Auto,3462.05,4828.8
Pidilite Ind,2080.1,2916.85
SBI Life Insura,1039.25,1339.55
Hind Zinc,242.4,383
IOC,65.2,93.7
Hindustan Aeron,1718,3950
DLF,308.3,508.5
Britannia,3374,5084.95
Grasim,1305.95,1839.3
Godrej Consumer,748.95,1088.7
Tech Mahindra,965,1165.75
